city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vestbygda,100.0,RO,1612640065.0,75.0,46.4333,26.4,-1.11,1.85
honningsvag,0.0,SD,1612639908.0,21.0,15.5518,32.5324,22.22,3.09
juarez,75.0,PF,1612639947.0,78.0,-17.7333,-149.15,25.0,5.66
kysyl-syr,100.0,RU,1612640068.0,95.0,59.1167,159.9667,-11.83,10.43
bilibino,0.0,BH,1612640069.0,83.0,26.2154,50.5832,21.0,6.69
vostok,61.0,CA,1612640071.0,62.0,55.1001,-105.2842,-31.0,3.09
susangerd,66.0,ID,1612640072.0,87.0,-7.95,110.2833,24.5,2.16
acarau,75.0,EC,1612640073.0,84.0,0.6,-80.0333,29.0,2.06
srednekolymsk,100.0,TM,1612640074.0,69.0,39.5108,54.3671,9.81,3.46
solsvik,0.0,NC,1612640075.0,75.0,-20.35,164.4333,25.09,1.27
namatanai,100.0,NU,1612640076.0,94.0,-19.0595,-169.9187,26.0,3.09
zhigansk,100.0,AU,1612640077.0,100.0,-15.7667,128.7333,26.0,3.6
ostrovnoy,100.0,GA,1612640078.0,88.0,-2.65,10.0,26.63,3.01
goma,96.0,CN,1612640079.0,100.0,30.95,113.55,8.0,0.73
rantauprapat,100.0,GF,1612639992.0,86.0,5.3833,-52.95,25.81,6.97
tilhar,94.0,PG,1612639942.0,96.0,-6.1761,143.6513,13.02,1.1
san alberto,1.0,MM,1612640083.0,89.0,16.7833,94.7333,21.93,3.5
davila,0.0,MV,1612640084.0,76.0,6.6221,73.07,27.35,4.0
menongue,1.0,US,1612639886.0,51.0,37.3394,-121.895,19.44,1.54
shimoda,100.0,ID,1612639879.0,84.0,-0.8667,134.0833,25.52,2.9
mahibadhoo,80.0,PT,1612640087.0,82.0,42.0304,-8.1588,6.67,2.26
den helder,99.0,RU,1612640088.0,97.0,54.7021,78.661,-0.55,7.15
lorengau,100.0,IR,1612640089.0,79.0,32.3811,48.4058,15.19,5.22
